! '' </s> 2
! -rrb- </s> 5
!! -rrb- </s> 1
# 's . 1
# 's 105515 1
# 's for 1
# -lrb-281-rrb- 261-0499 </s> 1
# -lrb-281-rrb- 300-8286 </s> 1
# -lrb-713-rrb- 761-4808 </s> 1
# -lrb-713-rrb- 853-6577 </s> 1
# -rrb- </s> 8
# -rrb- Rick 1
# . </s> 1
# ... 918-732-1325 1
# 0 '' 3
# 0366 cc 2
# 0413 , 1
# 1 , 1
# 10186 </s> 1
# 10188 </s> 1
# 10189 </s> 1
# 1022 </s> 1
# 107043 . 1
# 1098 -rrb- 1
# 11 fin 1
# 11 phy 2
# 111718 </s> 1
# 111727 </s> 1
# 11650 -rrb- 1
# 13327 for 1
# 142438 </s> 1
# 147727 </s> 1
# 166762 , 1
# 166981 EPMI 2
# 166985 , 1
# 166985 EPMI 2
# 2-way Pager 1
# 20748 Res 1
# 20822 Res 1
# 20835 comm 1
# 21047 and 1
# 21349 CONTRACT 1
# 21879 -rrb- 1
# 24268 -rrb- 1
# 24924 Res 1
# 25025 under 1
# 27291 have 1
# 27495 and 1
# 27639 </s> 1
# 281-364-6274 </s> 2
# 281-367-1100 </s> 2
# 288135 </s> 1
# 288275 </s> 1
# 295115 </s> 1
# 295116 </s> 1
# 295117 </s> 1
# 296410 </s> 1
# 316101 </s> 1
# 4000002858 </s> 1
# 4000002904 -rrb- 1
# 47044 </s> 1
# 5736 for 1
# 59152 </s> 2
# 64449 </s> 2
# 668 </s> 1
# 6751 -rrb- 1
# 703-506-2694 </s> 1
# 703-506-4300 </s> 1
# 713-426-0057 </s> 1
# 713-646-8160 </s> 46
# 713-853-7751 </s> 46
# 78023 -rrb- 1
# 78113 </s> 1
# 78149 </s> 1
# 78150 </s> 1
# 78151 </s> 1
# 78310 </s> 1
# 799 -rrb- 1
# 8 fin 1
# 8 phy 2
# 918-732-1355 </s> 1
# 9577003 </s> 1
# 9577010 </s> 1
# 9m #npx 6
# : 712-271-3359 1
# : 888-568-0510 1
# : </s> 6
# :303 -438 2
# at </s> 1
# be 0413 1
# be 107043 1
# do not 1
# of activity 1
# of hit 1
# of hour 1
# of point 1
# of row 1
# termination date 1
#cq 1 -lrb- 2
#npx -lrb- please 6
-lrb- x35036 -rrb- 1
-lrb- x36082 -rrb- 1
-lrb- x37007 -rrb- 1
-lrb- x5-7774 -rrb- 1
-lrb- x5-8885 -rrb- 1
-lrb-713-rrb-253-2131 mobile </s> 6
-lrb-713-rrb-253-8811 . </s> 1
-lrb-713-rrb-259-8080 . </s> 1
-lrb-713-rrb-646-8086 fax </s> 1
-lrb-713-rrb-646-8562 fax </s> 6
-lrb-713-rrb- 345-4727 . </s> 1
-lrb-713-rrb- 345-7970 -lrb-877-rrb- 485-9785 8774859785@skytel.com 1
-lrb-713-rrb- 345-8331 -lrb-713-rrb- 788-9458 team 1
-lrb-713-rrb- 345-8491 -lrb-713-rrb- 618-2524 </s> 1
-lrb-713-rrb- 618-2524 . </s> 1
-lrb-713-rrb- 646-8000 . </s> 1
-lrb-713-rrb- 707-6571 . </s> 1
-lrb-713-rrb- 788-9458 team pager 1
-lrb-713-rrb- 853-0569 -lrb-713-rrb- 710-6084 </s> 2
-lrb-713-rrb- 853-0569 . </s> 1
-lrb-713-rrb- 853-0605 -lrb- 713 2
-lrb-713-rrb- 853-0605 -lrb-877-rrb- 582-1723 8775821723@skytel.com 1
-lrb-713-rrb- 853-3226 . </s> 1
-lrb-713-rrb- 853-3540 . </s> 1
-lrb-713-rrb- 853-3879 -lrb-713-rrb- 709-0295 </s> 1
-lrb-713-rrb- 853-3879 -lrb-877-rrb- 582-1724 8775821724@skytel.com 1
-lrb-713-rrb- 853-5660 . </s> 1
-lrb-713-rrb- 853-5686 -lrb-713-rrb- 709-0295 </s> 1
-lrb-713-rrb- 853-5755 -lrb-713-rrb- 509-4650 </s> 2
-lrb-713-rrb- 853-6600 . </s> 2
-lrb-713-rrb- 853-9631 as soon 1
-lrb-800-rrb- 718-0830 . </s> 1
-lrb-832-rrb- 249-9075 . </s> 1
-lrb-877-rrb- 485-9785 8774859785@skytel.com </s> 1
-lrb-877-rrb- 582-1723 8775821723@skytel.com </s> 1
-lrb-877-rrb- 582-1724 8775821724@skytel.com </s> 1
-lrb-888-rrb- 378-6258 have be 1
-lrb-888-rrb- 422-7128 and the 1
-lsb- Garcia , 1
-lsb- I have 1
-lsb- ODBC SQL 1
-lsb- SQL server 1
-lsb- associate with 1
-lsb- expand ? 1
-lsb- intersolv -rsb- 1
-rcb- -rrb- order 1
-rrb- $ 15.00 1
-rrb- $ 155.00 1
-rrb- $ 50.00 1
-rrb- $ 85.00 1
-rrb- $ 95.00 1
-rrb- & </s> 1
-rrb- '' . 1
-rrb- * Avg 1
-rrb- + 43,834 1
-rrb- , -lrb- 1
-rrb- , </s> 5
-rrb- , Dallas 1
-rrb- , Liz 1
-rrb- , Neil 1
-rrb- , Peter 1
-rrb- , Sr. 1
-rrb- , and 7
-rrb- , begin 1
-rrb- , but 2
-rrb- , eol.trading 1
-rrb- , feel 1
-rrb- , gm 1
-rrb- , it 1
-rrb- , my 1
-rrb- , one 1
-rrb- , phase 1
-rrb- , should 1
-rrb- , so 1
-rrb- , sum 1
-rrb- , the 1
-rrb- , this 2
-rrb- , trigger 1
-rrb- , we 1
-rrb- , which 2
-rrb- - 12pm 1
-rrb- - 183108 1
-rrb- - 792131 1
-rrb- - EOTT 1
-rrb- - Gus 1
-rrb- - I 1
-rrb- - a 1
-rrb- - please 2
-rrb- - present 1
-rrb- -- thanks 1
-rrb- -lrb- please 1
-rrb- . </s> 138
-rrb- ... if 1
-rrb- 2001 , 1
-rrb- 227,819 dth 1
-rrb- 23263 10-31-01 1
-rrb- 23265 10-31-01 1
-rrb- 274 244 1
-rrb- 345-4sap with 1
-rrb- 713-796-1437 -lrb- 1
-rrb- 853 -6600 4
-rrb- : 0413 1
-rrb- : 263-406 2
-rrb- : 644-902 1
-rrb- : </s> 6
-rrb- : depart 1
-rrb- : user 1
-rrb- ; I 1
-rrb- = $ 1
-rrb- > = 1
-rrb- ? </s> 4
-rrb- @ 4pm 1
-rrb- CDT have 1
-rrb- Central Time 6
-rrb- Chris Greaney 1
-rrb- Cornell OR&IE 3
-rrb- Duke Fuqua 1
-rrb- Electricity Market 1
-rrb- GROUP by 1
-rrb- I get 1
-rrb- I participate 1
-rrb- I will 2
-rrb- Jerry </s> 1
-rrb- Life to 1
-rrb- Lyon - 1
-rrb- Management Committee 1
-rrb- New </s> 1
-rrb- Northwestern IE&MS 3
-rrb- Paycheck Inquiry 1
-rrb- Princeton OR&FE 1
-rrb- Purdue ie 3
-rrb- Reuters Limited 1
-rrb- Rick be 1
-rrb- Round trip 1
-rrb- Select P/R 1
-rrb- Shepherd be 1
-rrb- Stanford Business 3
-rrb- Stanford MS&E 6
-rrb- U. of 1
-rrb- U.of.Wisconsin , 1
-rrb- UT Austin 1
-rrb- University of 1
-rrb- a big 1
-rrb- about a 1
-rrb- access ehronline 1
-rrb- account in 1
-rrb- address and 1
-rrb- after 4 1
-rrb- after consider 1
-rrb- after work 1
-rrb- again for 1
-rrb- also note 1
-rrb- and -lrb- 1
-rrb- and 27495 1
-rrb- and </s> 3
-rrb- and Dynegy 4
-rrb- and Paul 1
-rrb- and Williams 1
-rrb- and credit 1
-rrb- and cut 1
-rrb- and edus 1
-rrb- and end 1
-rrb- and its 1
-rrb- and next 1
-rrb- and password 1
-rrb- and she 1
-rrb- and some 1
-rrb- and the 3
-rrb- and verify 2
-rrb- and we 1
-rrb- and will 1
-rrb- apparently , 1
-rrb- as </s> 1
-rrb- as net_volume 1
-rrb- as num_trans 1
-rrb- as of 1
-rrb- as well 1
-rrb- at 11:30 1
-rrb- at 2:30 1
-rrb- at 505-355-2468 1
-rrb- at 713-767-5406 1
-rrb- at 8:15 1
-rrb- at 8:30 1
-rrb- at a 1
-rrb- at that 1
-rrb- at the 1
-rrb- at which 1
-rrb- average score 1
-rrb- be $ 1
-rrb- be , 1
-rrb- be 1-800-283-1805 1
-rrb- be do 1
-rrb- be go 1
-rrb- be nearly 1
-rrb- be next 1
-rrb- be take 1
-rrb- be the 1
-rrb- be treat 1
-rrb- be very 1
-rrb- before visit 1
-rrb- between trader 1
-rrb- bid and 1
-rrb- book will 1
-rrb- but nothing 1
-rrb- but will 1
-rrb- by November 1
-rrb- call to 1
-rrb- can be 1
-rrb- click on 1
-rrb- commence on 1
-rrb- day prior 1
-rrb- department conference 1
-rrb- depict the 1
-rrb- domestic </s> 1
-rrb- early afternoon 1
-rrb- effective </s> 1
-rrb- end user 1
-rrb- enter into 1
-rrb- event , 1
-rrb- every Tuesday 1
-rrb- excellent professional 1
-rrb- face the 1
-rrb- for EAST 1
-rrb- for I 1
-rrb- for July 1
-rrb- for all 1
-rrb- for each 2
-rrb- for exempt 1
-rrb- for payment 1
-rrb- for the 2
-rrb- for total 1
-rrb- for update 1
-rrb- for we 1
-rrb- good professional 1
-rrb- good quantitative 1
-rrb- group in 1
-rrb- happen smoothly 1
-rrb- have approve 5
-rrb- have be 1
-rrb- have simplify 1
-rrb- have the 1
-rrb- if you 1
-rrb- in access 1
-rrb- in cancellation 1
-rrb- in ec 2
-rrb- in she 1
-rrb- in the 1
-rrb- in which 1
-rrb- instead </s> 1
-rrb- instead of 1
-rrb- know if 1
-rrb- meet - 1
-rrb- meet today 1
-rrb- might be 1
-rrb- must be 1
-rrb- name </s> 2
-rrb- namely , 1
-rrb- nominate 64,288 1
-rrb- nominate 72,298 1
-rrb- oba </s> 1
-rrb- of late 1
-rrb- of outstanding 1
-rrb- of the 1
-rrb- on Friday 1
-rrb- on the 1
-rrb- onward !!! 1
-rrb- option </s> 1
-rrb- or 847-619-8039 1
-rrb- or 9:00 1
-rrb- or John 1
-rrb- or Sherri 1
-rrb- or at 1
-rrb- or regard 1
-rrb- or stop 1
-rrb- or take 1
-rrb- or you 1
-rrb- order by 1
-rrb- pay information 1
-rrb- please join 1
-rrb- prior to 1
-rrb- process . 1
-rrb- promiss to 1
-rrb- provide the 1
-rrb- regard the 1
-rrb- register 2 1
-rrb- reliability , 1
-rrb- request a 1
-rrb- say dollar 1
-rrb- send January 2
-rrb- shall be 2
-rrb- sign Sept. 1
-rrb- state they 1
-rrb- thanks !!! 1
-rrb- the ability 1
-rrb- the budget 1
-rrb- the dial 1
-rrb- the need 1
-rrb- the strategy 1
-rrb- there will 2
-rrb- to </s> 1
-rrb- to allow 1
-rrb- to be 1
-rrb- to contact 1
-rrb- to discuss 1
-rrb- to help 1
-rrb- to identify 1
-rrb- to let 1
-rrb- to make 1
-rrb- to pack 1
-rrb- to provide 1
-rrb- to reflect 1
-rrb- to service 1
-rrb- to some 1
-rrb- to speak 1
-rrb- to the 3
-rrb- today !!!!!!! 1
-rrb- today . 2
-rrb- tomorrow . 1
-rrb- two additional 1
-rrb- uc berkley 3
-rrb- uncollected transport 1
-rrb- until November 1
-rrb- varify the 1
-rrb- very communicative 1
-rrb- very good 1
-rrb- web-site , 1
-rrb- wharrel@enron.com </s> 1
-rrb- what </s> 1
-rrb- what be 3
-rrb- what we 3
-rrb- when the 1
-rrb- where we 3
-rrb- which cause 1
-rrb- will apply 1
-rrb- will be 4
-rrb- will begin 1
-rrb- will just 1
-rrb- with Credit 1
-rrb- with Eastern 1
-rrb- with ena 1
-rrb- without Credit 1
-rrb- work out 1
-rrb- would prefer 1
-rrb- yes , 1
-rrb- yesturday , 1
-rrb- you do 1
-rsb- -lsb- ODBC 1
-rsb- -lsb- SQL 1
-rsb- be for 1
-rsb- ct_results -lrb- 1
. '' </s> 10
. -rrb- </s> 15
... . </s> 11
... ... . 3
... ... ... 12
... ... .30518 1
... ... </s> 3
... ... Fax 1
... ... SRogers@Oneok.com 1
... ... a 1
... .30518 </s> 1
... 25 % 2
... 918-732-1325 </s> 1
... ? </s> 1
... Fax # 1
... I 'll 2
... I be 2
... I will 1
... SRS </s> 2
... SRogers@Oneok.com </s> 1
... a BIG 1
... a request 1
... as request 1
... basically , 1
... because we 1
... below be 1
... but since 1
... drive </s> 1
... each individual 1
... everyone on 1
... file we 1
... fyus , 1
... happy </s> 1
... happy holiday 1
... hope it 1
... hopefully they 1
... http://www.open-invitation.net/web/tinacaywood </s> 1
... i.e. auto 1
... if it 1
... if you 1
... in addition 1
... let I 1
... look at 1
... maybe ! 1
... money will 1
... of course 1
... on the 2
... per we 1
... pipeline id 2
... please double 1
... see below 1
... since I 1
... so far 1
... somebody will 1
... sr </s> 3
... take a 1
... the item 1
... the utilize 1
... there be 2
... theses should 1
... they have 1
... this call 1
... this mean 1
... those job 1
... we should 1
... who be 1
... yea baby 1
... you can 1
... you may 1
.15 -rrb- - 1
/ -lsb- expand 1
/ 18 hole 2
/ 20/02 </s> 1
/ 21 : 1
/ 25 : 1
/ 3:00 pm 1
/ 4 reduce 1
/ 6/02 . 1
/ 7 - 1
/ 9 hole 2
/ Analyst program 1
/ Canada Government 1
/ Capital Review 1
/ Cara , 1
/ Kinder Morgan 1
/ Oneok -rrb- 1
/ a exception 1
/ approximately 20 1
/ content of 1
/ crude , 1
/ cut . 1
/ d </s> 2
/ d Agua 1
/ d Katy 1
/ d NYMEX 2
/ d Thompsonville 1
/ d Waha 3
/ d gas 2
/ d hsc 1
/ d in 2
/ d long 3
/ d purchase 1
/ d texoma 1
/ demand fundamental 1
/ dth -lrb- 1
/ dth for 1
/ each way 1
/ person -lrb- 2
/ person </s> 2
/ sm </s> 1
/ you on 1
0 ' , 1
0 ' to 1
0 '' . 2
0 '' to 1
0 datum -rrb- 1
0.06 / dth 1
0.2 - 0.3 1
0.20 . </s> 1
0.3 . </s> 2
0.6 mm be 1
0.6 mm of 1
0.68 over the 1
0.7 - 0.8 1
0.70 kwm or 1
0.8 . </s> 1
0.9 be now 1
00 , Nov 1
00 , and 1
003 608 </s> 1
003 608 Amsterdam 1
0032-2-535 77 31 1
00:00:00 ' -rcb- 1
01 - </s> 1
01 . </s> 3
01 and 16mm 1
01-01-02 27729 </s> 1
01-dec '01 </s> 1
01/01/02 thru Monday 1
01/04/2001 05:17 pm 1
01/04/2001 11:30 AM 1
01/07/02 . </s> 1
01/11/2001 03:09 pm 1
01/12/2001 02:17 pm 1
01/19/2001 08:26 AM 1
01/31/2001 02:58 AM 1
01:56:56 pm </s> 1
02 & 03 1
02 ; I 1
02 November 2001 1
02 to see 1
02/02/2001 10:00 AM 1
02/02/2001 11:20 AM 1
02/04/2001 - > 1
02/06/2001 08:35 AM 1
02/09/2001 03:06 AM 2
02/09/2001 10:59 AM 1
02/16/2001 02:16 pm 1
02/16/2001 09:41 AM 1
02/21/2001 04:50 pm 1
02/21/2001 04:51 pm 1
02/21/2001 04:53 pm 1
02/22/2001 12:20 pm 1
02/4 -5 , 1
020 7783 7318 . </s> 1
02:15 pm </s> 1
02:15:56 pm </s> 1
02:16 pm </s> 1
02:17 pm </s> 1
02:50:46 pm </s> 1
02:58 AM </s> 1
03 , 2001 1
03 . </s> 1
03/20/2001 08:48 pm 1
03/22/02 . </s> 1
03/26/01 , but 1
03/27/01 . </s> 2
03/27/2000 04:43 pm 1
03/30/2000 09:02 AM 1
0366 cc # 2
03:06 AM </s> 2
03:09 pm </s> 1
03:14 pm </s> 1
03:25 pm </s> 1
03:31 pm </s> 1
04 . </s> 1
04/17/2000 05:30 pm 1
04/18/2001 06:58 pm 1
04/20/2001 01:56:56 pm 1
04/20/2001 08:03:14 AM 1
04/23/2001 10:33:09 AM 1
04/24/2001 05:11 pm 1
04/27/2001 -rrb- ? 1
04/30/2001 05:12 pm 3
0413 , RC 2
0413 52004500 107043 1
04:22 pm </s> 1
04:34 pm </s> 1
04:43 pm </s> 1
04:50 pm </s> 1
04:51 pm </s> 1
04:53 pm </s> 1
04:57 pm </s> 2
05-dec '10 </s> 1
05.27.01 and 05.28.01 1
05.28.01 for market 1
05.30.01 . </s> 1
05/06/2001 08:25:53 pm 1
05/07/2001 = 93,077,500 1
05/08/2001 = 129,925,000 1
05/09/2001 = 208,852,500 1
05/10/2001 = 99,510,000 1
05/11/2001 = 216,390,000 1
05/12/2001 , cycle 1
05/22/2001 04:22 pm 1
05/23/2001 ... file 1
05:11 pm </s> 1
05:12 pm </s> 3
05:17 pm </s> 1
05:21 pm </s> 1
05:30 pm </s> 1
06 , 2001 1
06/04/2001 to 06/05/2001 1
06/05/2001 -rrb- and 1
06/05/2001 03:31 pm 1
06/06 , at 1
06/07 , EnronOnline 1
06/29/2001 05:21 pm 1
06836 -rrb- prior 1
06980 . </s> 2
06:13 pm </s> 1
06:17 pm </s> 1
06:52 AM </s> 1
06:58 pm </s> 1
07748 182 743 1
07748 321 864 2
07748 932 302 1
07767 624 344 2
07768 233 773 2
07768 942 520 3
0776 993 6788 Cologne pm 1
0776 993 6788 Frankfurt pm 1
07771 562 193 2
07771 907 083 2
07778 003 608 2
07780 957 498 2
0788 762 6169 London London 1
08/08/2000 06:17 pm 1
08/20/01 . </s> 1
08/22/2000 11:07 AM 1
08/27/01 . </s> 1
08:03:14 AM </s> 1
08:15 AM </s> 1
08:25:53 pm </s> 1
08:26 AM </s> 1
08:35 AM </s> 1
08:36 AM </s> 1
08:48 pm </s> 1
09/04/01 . </s> 1
09/10/01 . </s> 1
09/19/2000 08:36 AM 1
09/20/2000 11:41 AM 1
09:02 AM </s> 1
09:41 AM </s> 1
1 , 1990 1
1 , 2000 2
1 , 2001 5
1 , 2002 2
1 , </s> 1
1 , Meter 1
1 , from 1
1 , program 1
1 , then 1
1 - Saturday 1
1 -lrb- Reuters 1
1 -lrb- please 2
1 -rrb- </s> 1
1 -rrb- I 1
1 -rrb- Northwestern 1
1 -rrb- Stanford 2
1 -rrb- U. 1
1 -rrb- access 1
1 -rrb- average 1
1 -rrb- excellent 1
1 -rrb- reliability 1
1 -rrb- the 2
1 -rrb- very 1
1 -rrb- what 1
1 -rrb- without 1
1 . </s> 14
1 : 1-1/2 1
1 = 47.93 1
1 @ 4:00 1
1 Basis Trader 1
1 Cabinet should 2
1 Industrial/Utility Middle 1
1 Month < 1
1 Month Non-TX 1
1 and 2 1
1 and phase 1
1 and then 1
1 be the 1
1 by tk 1
1 cover the 1
1 from 3:30 1
1 lead physical 1
1 meeting . 1
1 mile on 1
1 month non-tx 1
1 no later 1
1 physical trader 1
1 process gas 1
1 senior analyst 1
1 supply middle 1
1 to Monday 1
1,000 . </s> 1
1,100,000 to 1,110,000 1
1-1/2 - 2 1
1-1/2 hr . 2
1-3 . </s> 1
1-416-869-3456 ; Sherri 1
1-800-283-1805 -lrb- Jim 1
1-800-283-1805 -lrb- Rick 1
1-800-283-1805 -lrb- domestic 4
1-800-283-1805 -rrb- . 1
1-800-283-1805 -rrb- domestic 1
1-800-283-1805 . </s> 4
1-800-283-1805 will remain 1
1-800-283-1805 with Rick 2
1-800-713-8600 -lrb- domestic 4
1-800-745-1000 -lrb- domestic 2
1-800-998-2462 -lrb- domestic 2
1-800-998-2462 -lrb- passcode 1
1-877-660-6591 -lrb- domestic 1
1-888-271-0949 , </s> 1
1.0 launch date 9
1.1 million common 1
1.1300 / dth 1
1.19 billion -rrb- 1
1.2 % of 2
1.2 billion to 1
1.90 . </s> 1
1.928 k </s> 1
1.95 a unit 1
1/1/2002 . </s> 1
1/12/01 - 1/26/01 1
1/15/02 -rrb- . 1
1/15/2002 . </s> 1
1/19 -1 / 1
1/2 Thur . 1
1/2 a day 2
1/2 day vacation 1
1/2 hour </s> 1
1/2 of the 2
1/25 in payment 1
1/26/01 -rrb- there 1
1/3 fri. 1/4 1
1/31/2002 - $ 2
1/31/2002 . </s> 2
1/4/01 and it 1
1/5/01 . </s> 1
10 & 24 1
10 , 1999 1
10 , 2000 1
10 , 2001 3
10 , 2002 1
10 -rrb- and 1
10 . </s> 7
10 AM Friday 1
10 a.m. on 2
10 business day 1
10 day . 1
10 day course 1
10 million in 1
10 minute . 1
10 percent each 1
10 section . 1
10,000 dth with 1
10,000 mmbtu . 1
10,000 mmbtu make-up 1
10,000 or more 2
10-04-01 & 10-05-01 1
10-05-01 . </s> 1
10-31-01 11-01-01 27725 1
10-31-01 11-01-01 27726 1
10-31-01 11-01-01 27727 1
10-31-01 11-01-01 27728 1
10-31-01 11-01-01 27730 1
10-31-01 11-01-01 27731 1
10-31-01 11-01-01 27732 1
10-31-01 11-01-01 27733 1
10-31-01 11-01-01 27741 1
10-apr-01 10000 1 1
10.30 to discuss 1
10/02/01 , 7:05 1
10/03/01 , 7:05 1
10/04/01 , 7:05 1
10/05/2000 10:20 AM 1
10/06/99 02:15 pm 1
10/08/01 $ 634,261 1
10/1/2001 . </s> 1
10/10/00 03:25 pm 1
10/11/01 . </s> 1
10/12/2000 04:57 pm 2
10/15/01 . </s> 1
10/18 -rrb- to 1
10/19/01 . </s> 1
10/23 -rrb- . 1
10/24 -rrb- to 1
10/25/01 . </s> 1
10/27 I be 1
10/27/01 . </s> 1
10/28/01 . </s> 1
10/29/01 . </s> 1
10/30 -rrb- . 1
10/31/01 will require 1
10/31/2001 . </s> 1
10/4/01 $ 3,319.40 1
10/4/01 . </s> 1
100 % . 1
100 % </s> 2
100 % be 1
100 % commit 1
100 % execution 1
100 % of 3
100 % participation 4
100 Crescent Court 1
100 Jan NYMEX 1
100 mm . 1
100,000 / d 3
100,000 this year 1
1000 mcf per 1
10000 1 </s> 6
1000000303 and reflect 1
102835 on he 1
103132 be not 1
1050 Bruxelles </s> 1
105515 and 105922 1
105922 -rrb- as 1
106171 be cut 1
107043 . </s> 2
1090 mdth/d . 1
1098 -rrb- </s> 1
10:00 - 10:30 1
10:00 AM - 2
10:00 AM -lrb- 3
10:00 AM </s> 4
10:00 AM CST 1
10:00 a.m. , 1
10:00 a.m. -lrb- 2
10:00 a.m. in 1
10:00 a.m. meeting 1
10:00 am-11 :00 1
10:00 be - 1
10:00 be -lrb- 1
10:00 be CST 2
10:00 be in 1
10:00 be to 1
10:00 pm . 1
10:00:00 AM </s> 1
10:20 AM </s> 1
10:30 - 11:30 1
10:30 - 12:00 2
10:30 -11 be 1
10:30 AM - 1
10:30 AM -lrb- 6
10:30 AM . 1
10:30 AM </s> 1
10:30 AM be 1
10:30 AM for 1
10:30 AM welcome 2
10:30 a.m. , 1
10:30 a.m. -lrb- 1
10:30 a.m. </s> 1
10:30 am , 1
10:30 be - 1
10:30 be -lrb- 2
10:30 be CST 2
10:30 be arrive 1
10:30 be cst 1
10:30 be to 1
10:33:09 AM </s> 1
10:40 a.m. -lrb- 1
10:45 a - 2
10:46 pm </s> 1
10:55 be arrive 1
10:59 AM </s> 1
10th & 11th 1
10th June -lrb- 1
11 , 2000 1
11 , 2001 2
11 , 2002 1
11 , should 1
11 - October 1
11 . </s> 5
11 AM CPT 1
11 Enron wholesale 1
11 am . 1
11 fin swap 1
11 phy , 1
11 phy </s> 1
11 school that 1
11-01-01 27725 </s> 1
11-01-01 27726 </s> 1
11-01-01 27727 </s> 1
11-01-01 27728 </s> 1
11-01-01 27730 </s> 1
11-01-01 27731 </s> 1
11-01-01 27732 </s> 1
11-01-01 27733 </s> 1
11-01-01 27741 </s> 1
11-02-01 11-03-01 * 1
11-03-01 * tba 1
11-15 to 11-28 1
11-16-01 : 333,400 1
11-28 return on 1
11-dec '15 </s> 1
11/01/01 -lrb- except 1
11/02/2000 06:13 pm 1
11/09/01 spreadsheet . 1
11/1/00 - 8/31/01 1
11/1/2001 . </s> 1
11/10/00 . </s> 1
11/12/01 . </s> 1
11/13 -rrb- at 1
11/13/00 agg-management 2,785,081 1
11/13/00 management-crd 0 1
11/13/00 management-gas 2,726,690 1
11/13/00 management-pwr 243,892 1
11/13/2000 08:15 AM 1
11/14/00 , which 1
11/14/00 agg-management 3,003,246 1
11/14/00 management-crd 0 1
11/14/00 management-gas 2,977,025 1
11/14/00 management-pwr 231,980 1
11/15 Bert Hernandez 1
11/15/00 agg-management 3,667,563 1
11/15/00 management-crd 0 1
11/15/00 management-gas 3,570,479 1
11/15/00 management-pwr 200,087 1
11/16 -rrb- and 1
11/16/00 agg-management 2,336,884 1
11/16/00 management-crd 0 1
11/16/00 management-gas 2,266,862 1
11/16/00 management-pwr 195,997 1
11/16/01 . </s> 1
11/16/2001 be now 2
11/17/00 agg-management 2,993,595 1
11/17/00 management-crd 0 1
11/17/00 management-gas 2,922,796 1
11/17/00 management-pwr 196,716 1
11/19/2001 be now 1
11/20/2000 04:34 pm 1
11/22-11 / 25 1
11/23 -rrb- </s> 1
11/23 . </s> 1
11/23 and move 1
11/27/01 so I 1
11/27/2000 until 12/12/2000 1
11/27/2001 be now 2
11/28/01 $ 949.39 1
11/28/01 . </s> 1
11/29/99 -rrb- . 1
11/3/01 -rrb- . 1
11/30 -rrb- will 1
11/30 to keep 1
11/30/01 be $ 1
11/30/01 will cost 1
11/30/2001 -rrb- , 1
11/6/01 $ 21,010.15 1
1100 Louisiana , 1
1136 deal remain 1
11650 -rrb- request 1
118,566 deal with 1
119283 -lrb- Louise 2
11997 have be 1
11:00 -11:45 AM 1
11:00 AM . 1
11:00 AM </s> 2
11:00 AM and 1
11:00 a. </s> 1
11:00 a.m. -lrb- 1
11:00 a.m. in 1
11:00 am during 1
11:00 am-12 :30 1
11:00 be - 1
11:00 be -lrb- 2
11:00 be . 1
11:00 to 12:30 1
11:00:00 AM </s> 1
11:07 AM </s> 1
11:20 AM </s> 1
11:26 AM </s> 1
11:30 - 12:00 1
11:30 - 12:30 1
11:30 - 5:00 1
11:30 ? </s> 1
11:30 AM - 1
11:30 AM . 1
11:30 AM </s> 2
11:30 AM in 1
11:30 AM meeting 1
11:30 a - 3
11:30 a Registration 2
11:30 a.m. 1/15/2002 1
11:30 a.m. in 1
11:30 am . 1
11:30 am-1 :30 1
11:30 be - 2
11:30 be </s> 1
11:30 be CST 1
11:30 pm in 1
11:41 AM </s> 1
11:45 AM . 1
11:45 a.m. . 1
11:45 am . 1
11:50 AM and 1
11th , 12th 1
11th , it 1
11th . </s> 2
11th have be 1
11th since I 1
12 , 2001 2
12 , have 1
12 -- the 1
12 -lrb- day 1
12 . </s> 3
12 @ 4:00 1
12 at 12:30 1
12 at 1:00 1
12 in Loop 1
12 month swap 1
12 p.m. tomorrow 1
12,603,727 . </s> 1
12-01-01 12-02-01 * 1
12-02-01 * tba 1
12-31-01 01-01-02 27729 1
12/01/2001 - 12/15/2001 1
12/02/01 -rrb- and 1
12/06/2001 . </s> 1
12/07/2000 11:26 AM 1
12/1/2001 . </s> 1
12/11 with no 1
12/12/2000 . </s> 1
12/13/2000 06:52 AM 1
12/14 -rrb- will 1
12/19/2000 02:15:56 pm 1
12/19/2000 02:50:46 pm 1
12/20 and return 1
12/20/2000 03:14 pm 1
12/21 . </s> 1
12/21/01 , so 1
12/21/2001 be now 1
12/22/01 through 12/25/01 1
12/24 . </s> 1
12/24 rather than 1
12/25/01 . </s> 1
12/27 but </s> 1
12/27/99 10:46 pm 1
12/29 -rrb- at 1
12/30/01 , since 1
12/31 . </s> 1
12/31/01 will cost 1
12/31/2002 . </s> 1
12/8/00 -rrb- = 1
120000 12 </s> 2
125,448.39 from Burlington 1
1287 Grissom Hall 2
129,925,000 mmbtus </s> 1
12:00 - 1:00 3
12:00 -1:30 pm 2
12:00 -lrb- noon 4
12:00 PM CST 1
12:00 n Job 1
12:00 n individual 1
12:00 noon . 1
12:00 noon period 1
12:00 p.m. -lrb- 1
12:00 p.m. </s> 1
12:00 pm , 1
12:00 pm - 1
12:00 pm -lrb- 13
12:00 pm </s> 2
12:00 pm C.S.T. 1
12:00 pm CST 1
12:00 pm cst 1
12:15 noon . 1
12:20 pm </s> 1
12:30 - 1:00 1
12:30 Pacific , 1
12:30 p.m.-2 :30 1
